360X,Student,Gaming,Professional
https://2b.com.eg/en/hp-pavilion-x360-14-ek1019ne-laptop-intelr-coretm-i5-1335u-8gb-512gb-ssd-intelr-irisr-graphics-14-fhd-win11-silver.html,https://2b.com.eg/en/lenovo-ideapad-1-15igl7-laptop-intelr-celeronr-n4020-8gb-256gb-ssd-intelr-uhd-integrated-graphics-15-6-fhd-abyss-blue.html,https://2b.com.eg/en/asus-tuf-gaming-f15-fx507vv-lp156w-laptop-intelr-coretm-i7-13620h-16gb-1tb-ssd-nvidiar-geforcer-rtx-4060-8gb-15-6-fhd-win11-jaeger-gray.html,https://2b.com.eg/en/asus-vivobook-s14-s5406sa-pp017w-laptop-intelr-coretm-ultra-7-256v-16gb-1tb-ssd-intelr-arctm-graphics-14-oled-win11-mist-blue.html
https://2b.com.eg/en/hp-pavilion-x360-14-ek0011ne-intelr-coretmi5-1235u-8gb-512gb-ssd-intelr-irisr-x-graphics-14-fhd-win11-natural-silver.html,https://2b.com.eg/en/lenovo-ideapad-1-15iau7-laptop-intelr-coretm-i3-1215u-8gb-256gb-ssd-intelr-uhd-graphics-15-6-hd-win11-abyss-blue.html,https://2b.com.eg/en/asus-tuf-gaming-a15-fa506nfr-hn007w-laptop-amd-ryzentm-7-7435hs-8gb-512gb-ssd-nvidiar-geforcer-rtxtm-2050-4gb-15-6-fhd-win11-graphite-black.html,https://2b.com.eg/en/hp-15-fd0069ne-laptop-intelr-coretm-i5-1334u-16gb-512gb-ssd-intelr-irisr-x-graphics-15-6-fhd-win11-natural-silver.html
https://2b.com.eg/en/hp-spectre-x360-16-aa0013ne-laptop-intelr-coretm-ultra-7-155h-16gb-1tb-ssd-nvidiar-geforce-rtxtm-4050-6gb-16-oled-touch-win11-blue.html,https://2b.com.eg/en/acer-aspire-3-a315-59-58xr-slim-laptop-intelr-coretm-i5-1235u-8gb-512gb-ssd-intelr-iris-xe-graphics-15-6-fhd-silver.html,https://2b.com.eg/en/asus-tuf-gaming-f15-fx507vu-lp163w-laptop-intelr-coretm-i7-13620h-16gb-512gb-ssd-nvidiar-geforcer-rtxtm-4050-6gb-15-6-fhd-win11-jaeger-gray.html,https://2b.com.eg/en/asus-vivobook-15-x1504va-nj005w-laptop-intelr-coretm-i5-1335u-8gb-512gb-ssd-intelr-uhd-integrated-graphics-15-6-fhd-win11-quiet-blue.html
https://2b.com.eg/en/hp-spectre-x360-16-aa0014ne-laptop-intelr-coretm-ultra-7-155h-16gb-1tb-ssd-nvidiar-geforce-rtxtm-4050-6gb-16-oled-touch-win11-nightfall-black-aluminum.html,https://2b.com.eg/en/asus-vivobook-go-15-e1504ga-nj606w-laptop-intelr-coretm-i3-n305-4gb-256gb-ssd-intelr-uhd-graphics-15-6-fhd-win11-black.html,https://2b.com.eg/en/lenovo-loq-15iax9-laptop-intelr-coretm-i5-12450hx-8gb-512gb-ssd-nvidiar-geforce-rtxtm-2050-4gb-15-6-fhd-luna-grey.html,https://2b.com.eg/en/msi-modern-14-c12mo-laptop-intelr-coretm-i5-1235u-8gb-512gb-ssd-intelr-iris-xe-graphics-14-fhd-urban-silver.html
,https://2b.com.eg/en/acer-aspire-3-a315-59-31lz-slim-laptop-intelr-coretm-i3-1215u-8gb-512gb-ssd-intelr-uhd-graphics-15-6-fhd-silver.html,https://2b.com.eg/en/lenovo-loq-15irx9-laptop-intelr-coretm-i7-13650hx-16gb-512gb-ssd-nvidiar-geforce-rtxtm-3050-6gb-15-6-fhd-luna-grey.html,https://2b.com.eg/en/asus-vivobook-15-x1504va-nj017w-laptop-intelr-coretm-i7-1355u-8gb-512gb-ssd-intelr-iris-xe-graphics-15-6-fhd-win11-quiet-blue.html
,https://2b.com.eg/en/asus-x515ma-br001-laptop-intelr-celeronr-n4020-4gb-256gb-ssd-intelr-uhd-graphics-15-6-hd-slate-grey.html,https://2b.com.eg/en/msi-thin-15-b12ucx-laptop-intelr-coretm-i5-12450h-8gb-512gb-ssd-nvidiar-geforce-rtx-2050-4gb-15-6-fhd-gray.html,https://2b.com.eg/en/lenovo-ideapad-3-slim-15iah8-laptop-intelr-coretm-i5-12420h-8gb-512gb-ssd-intelr-uhd-integrated-graphics-15-6-fhd-win11-arctic-grey.html
,https://2b.com.eg/en/lenovo-ideapad-1-15iau7-laptop-intelr-coretm-i3-1215u-8gb-256gb-ssd-intelr-uhd-graphics-15-6-hd-abyss-blue.html,https://2b.com.eg/en/lenovo-loq-15irx9-laptop-intelr-coretm-i7-14700hx-16gb-1tb-ssd-nvidiar-geforcetm-rtx-4060-8gb-15-6-fhd-luna-grey.html,https://2b.com.eg/en/asus-vivobook-15-x1502za-bq007w-laptop-intelr-coretm-i7-12700h-8gb-512gb-ssd-intelr-uhd-graphics-15-6-fhd-win11-quiet-blue.html
,https://2b.com.eg/en/lenovo-ideapad-1-15iau7-laptop-intelr-coretm-i3-1215u-8gb-256gb-ssd-intelr-uhd-integrated-graphics-15-6-hd-win11-abyss-blue-1.html,https://2b.com.eg/en/lenovo-loq-15iax9-laptop-intelr-coretm-i5-12450hx-8gb-512gb-ssd-nvidiar-geforce-rtxtm-3050-6gb-15-6-fhd-luna-grey.html,https://2b.com.eg/en/lenovo-ideapad-3-slim-15irh8-laptop-intelr-coretm-i5-13420h-16gb-512gb-ssd-integrated-intelr-uhd-graphics-15-6-fhd-arctic-grey.html
,https://2b.com.eg/en/lenovo-ideapad-slim-3-15amn8-amd-ryzentm-5-7520u-8gb-512gb-ssd-amd-radeontm-graphics-15-6-fhd-win11-arctic-grey.html,https://2b.com.eg/en/asus-tuf-gaming-a15-fa507nur-lp007w-laptop-amd-ryzen-7-7435hs-16gb-512gb-ssd-nvidiar-geforcer-rtx-4050-6gb-15-6-fhd-win11-off-grey.html,https://2b.com.eg/en/asus-vivobook-go-15-e1504fa-nj005w-laptop-amd-ryzentm-r5-7520u-8gb-512gb-ssd-amd-radeontm-graphics-15-6-fhd-win11-cool-silver.html
,,https://2b.com.eg/en/asus-tuf-gaming-a15-fa507nvr-lp007w-laptop-amd-ryzen-7-7435hs-16gb-512gb-ssd-nvidiar-geforcer-rtx-4060-8gb-15-6-fhd-win11-off-grey.html,https://2b.com.eg/en/hp-14-em0006ne-laptop-amd-ryzentm-5-7520u-8gb-512gb-ssd-amd-radeontm-graphics-14-fhd-win11-natural-silver.html
,,https://2b.com.eg/en/hp-victus-15-fa0025nr-laptop-intelr-core-i5-12500h-8gb-512gb-ssd-nvidiar-geforcer-rtx-3050-4gb-15-6-fhd-win11-mica-silver.html,https://2b.com.eg/en/hp-15-fc0034ne-laptop-amd-ryzentm-7-7730u-16gb-512gb-ssd-amd-radeontm-graphics-15-6-fhd-win11-natural-silver.html
,,https://2b.com.eg/en/hp-victus-16-r0043ne-laptop-intelr-coretm-i7-13700h-16gb-1tb-ssd-nvidiar-geforce-rtx-4060-8gb-16-1-fhd-blue.html,https://2b.com.eg/en/lenovo-ideapad-slim-3-15iru8-laptop-intelr-coretm-i3-1315u-8gb-256gb-ssd-intelr-uhd-graphics-15-6-fhd-grey.html
,,https://2b.com.eg/en/lenovo-legion-5-pro-16irx9-laptop-intelr-coretm-i7-14650hx-16gb-1tbssd-nvidiar-geforcer-rtx-4060-8gb-16-wuxga-grey.html,https://2b.com.eg/en/asus-vivobook-15-x1504va-nj1007-laptop-intelr-coretm-i7-1355u-16gb-512gb-ssd-intelr-iris-xe-graphics-15-6-fhd-quiet-blue.html
,,https://2b.com.eg/en/asus-rog-zephyrus-g16-gu605my-qr061w-laptop-intelr-ultra-9-185h-32gb-2tb-ssd-nvidiar-geforce-rtx-4090-16gb-16-2-5k-wqxga-win11-gray.html,https://2b.com.eg/en/lenovo-ideapad-slim-3-15irh8-laptop-intelr-coretm-i7-13620h-16gb-512gb-ssd-intelr-uhd-integrated-graphics-15-6-fhd-arctic-grey.html
,,https://2b.com.eg/en/hp-omen-16-wf0004ne-laptop-intelr-coretm-i7-13700hx-32gb-1tb-ssd-nvidiar-geforce-rtx-4080-12gb-16-1-qhd-win11-black.html,https://2b.com.eg/en/asus-zenbook-a14-ux3407ra-qd010w-laptop-snapdragonr-x-elite-x1e-78-100-32gb-1tb-ssd-qualcommr-adrenotm-14-wuxga-oled-win-11-iceland-grey-pre-order.html
,,https://2b.com.eg/en/hp-victus-16-r0068ne-laptop-intelr-coretm-i7-13700h-16gb-1tb-ssd-nvidiar-geforce-rtx-4060-8gb-16-qhd-win11-blue.html,https://2b.com.eg/en/lenovo-ideapad-5-slim-16imh9-laptop-intelr-coretm-ultra-5-125h-16gb-512gb-ssd-intelr-arctm-graphics-16-wuxga-win11-grey.html
,,https://2b.com.eg/en/hp-victus-15-fa1109ne-laptop-intelr-core-i7-13700h-16gb-512gb-ssd-nvidiar-geforce-rtx-3050-6gb-15-6-fhd-win11-blue.html,https://2b.com.eg/en/hp-pavilion-aero-13-be2003ne-laptop-amd-ryzen-r5-7535u-8gb-512gb-ssd-amd-radeon-graphics-13-3-wuxga-win11-natural-silver.html
,,https://2b.com.eg/en/msi-thin-15-b13ve-laptop-intelr-coretm-i7-13620h-16gb-512gb-ssd-nvidiar-geforce-rtxtm-4050-6gb-15-6-fhd-gray.html,https://2b.com.eg/en/hp-spectre-x360-14-eu0011ne-laptop-intelr-coretm-ultra-7-155h-16gb-1tb-ssd-intelr-arctm-graphics-14-fhd-3k-win11-dark-black-aluminum.html
,,https://2b.com.eg/en/msi-thin-15-b13uc-laptop-intelr-coretm-i7-13620h-16gb-512gb-ssd-nvidiar-geforce-rtx-3050-4gb-15-6-fhd-gray.html,https://2b.com.eg/en/msi-modern-15-f13mg-laptop-intelr-coretm-i5-1335u-8gb-512gb-ssd-intelr-iris-xe-graphics-15-6-fhd-urban-silver.html
,,https://2b.com.eg/en/lenovo-loq-15arp9-laptop-amd-ryzen-7-7435hs-24gb-1tb-ssd-nvidiar-geforcer-rtx-4070-8gb-15-6-fhd-win-11-gray.html,https://2b.com.eg/en/asus-vivobook-16x-k3605vv-n1116w-laptop-intelr-coretm-i7-13700h-16gb-512gb-ssd-nvidiar-geforce-rtxtm-4060-8gb-16-0-wuxga-win11-black.html
,,https://2b.com.eg/en/lenovo-loq-15irx9-laptop-intelr-coretm-i7-13650hx-16gb-512gb-ssd-nvidiar-geforce-rtx-4060-8gb-15-6-fhd-luna-grey.html,https://2b.com.eg/en/asus-vivobook-go-15-e1504fa-nj001-laptop-amd-ryzen-r3-7320u-4gb-256gb-ssd-amd-radeontm-graphics-15-6-fhd-gray.html
,,https://2b.com.eg/en/acer-nitro-v15-anv15-51-755s-laptop-intelr-coretm-i7-13620h-16gb-512gb-ssd-nvidiar-geforcer-rtx-4050-6gb-15-6-fhd-black.html,https://2b.com.eg/en/hp-15-fd0371nia-laptop-intelr-core-i7-1355u-8gb-512gb-ssd-nvidiar-geforcer-mx570-2gb-15-6-fhd-silver.html
,,https://2b.com.eg/en/hp-victus-16-r0027ne-laptop-intelr-coretm-i7-13700h-16gb-1tb-ssd-nvidiar-geforce-rtx-4070-8gb-16-1-fhd-mica-silver.html,https://2b.com.eg/en/hp-15-fd0346nia-laptop-intelr-core-i7-1355u-8gb-512gb-ssd-intelr-iris-xe-graphics-15-6-fhd-silver.html
,,https://2b.com.eg/en/hp-victus-16-r0047nia-laptop-intelr-coretm-i7-13700h-16gb-1tb-ssd-nvidiar-geforce-rtx-4060-8gb-16-1-fhd-blue.html,https://2b.com.eg/en/dell-vostro-15-3530-laptop-intelr-coretm-i7-1355u-8gb-512gb-ssd-intelr-uhd-graphics-15-6-fhd-grey.html
,,https://2b.com.eg/en/hp-victus-16-r0059wm-laptop-intelr-coretm-i7-13700h-16gb-1tb-ssd-nvidiar-geforce-rtxtm-4060-8gb-16-1-fhd-mica-silver.html,https://2b.com.eg/en/hp-probook-470-g9-laptop-intelr-coretm-i7-1255u-8gb-512gb-ssd-nvidiar-geforcer-mx550-2gb-17-3-fhd-silver.html
,,https://2b.com.eg/en/hp-victus-16-r0046ne-laptop-intelr-coretm-i7-13700h-16gb-1tb-ssd-nvidiar-geforce-rtxtm-4050-6gb-16-1-fhd-performance-blue.html,https://2b.com.eg/en/lenovo-ideapad-5-pro-16imh9-laptop-intelr-coretm-ultra-5-125h-16gb-512gb-ssd-nvidiar-geforce-rtxtm-3050-6gb-16-2k-oled-win11-arctic-grey.html
,,https://2b.com.eg/en/asus-tuf-gaming-a15-fa506ncr-hn007w-laptop-amd-ryzentm-7-7435hs-8gb-512gb-ssd-nvidiar-geforcer-rtxtm-3050-4gb-15-6-fhd-win11-off-black.html,https://2b.com.eg/en/lenovo-ideapad-3-slim-15abr8-laptop-amd-ryzentm-7-7730u-8gb-512gb-ssd-integrated-amd-radeontm-graphics-15-6-fhd-win11-arctic-grey.html
,,https://2b.com.eg/en/lenovo-loq-15irx9-laptop-intelr-coretm-i7-13650hx-16gb-512gb-ssd-nvidiar-geforce-rtxtm-4050-6gb-15-6-fhd-luna-grey.html,https://2b.com.eg/en/hp-15-fc00036ne-laptop-amd-ryzentm-r7-7730u-16gb-512gb-ssd-amd-radeontm-integrated-graphics-14-fhd-win11-black.html
,,https://2b.com.eg/en/hp-victus-15-fa1097ne-laptop-intelr-coretm-i7-13700h-16gb-512-gb-ssd-nvidiar-geforce-rtxtm-4050-6gb-15-6-fhd-silver.html,https://2b.com.eg/en/lenovo-ideapad-1-15amn7-laptop-amd-ryzentm-5-7520u-8gb-512gb-ssd-integrated-amd-radeontm-610m-graphics-15-6-fhd-win11-cloud-grey.html
,,https://2b.com.eg/en/hp-victus-15-fb0034ne-amd-ryzentm-7-5800h-16gb-512gb-ssd-nvidiar-geforce-rtxtm-3050-4gb-15-6-fhd-win11-mica-silver.html,https://2b.com.eg/en/lenovo-ideapad-5-slim-17imh9-laptop-intelr-coretm-ultra-7-155h-16gb-512gb-ssd-integrated-intelr-arctm-graphics-16-wuxga-win11-cloud-grey.html
,,https://2b.com.eg/en/dell-g15-5515-amd-ryzentm-7-5800h-8gb-512gb-ssd-nvidiar-geforce-rtxtm-3050-4gb-15-6-fhd-phantom-grey.html,https://2b.com.eg/en/dell-vostro-3520-laptop-intelr-coretm-i7-1255u-8gb-512gb-ssd-intelr-uhd-integrated-graphics-15-6-fhd-ubuntu-black.html
,,,https://2b.com.eg/en/hp-15-fd0022ne-laptop-intelr-coretm-i7-1355u-8gb-512gb-ssd-intelr-iris-xe-graphics-15-6-fhd-silver.html
,,,https://2b.com.eg/en/dell-vostro-3520-intelr-coretm-i7-1255u-8gb-512gb-ssd-intelr-uhd-integrated-graphics-15-6-fhd-ubuntu-carbon-black.html
,,,https://2b.com.eg/en/dell-vostro-3520-laptop-intelr-coretm-i3-1215u-4gb-256gb-ssd-intelr-uhd-integrated-graphics-15-6-fhd-ubuntu-carbon-black.html
,,,https://2b.com.eg/en/dell-vostro-3520-laptop-intelr-coretm-i3-1215u-8gb-512gb-ssd-intelr-uhd-integrated-graphics-15-6-fhd-black.html
,,,https://2b.com.eg/en/hp-pavalion-15-eh3001ne-amd-ryzentm-7-7730u-16gb-512gb-ssd-amd-radeontm-integrated-graphics-15-6-fhd-win11-blue.html
,,,https://2b.com.eg/en/msi-modern-15-h-b13m-laptop-intelr-coretm-i7-13620h-8gb-512gb-ssd-intelr-iris-xe-graphics-15-6-fhd-classic-black.html
,,,https://2b.com.eg/en/lenovo-ideapad-slim-3-15iah8-intelr-coretm-i5-12450h-8gb-512gb-ssd-intelr-uhd-graphics-15-6-fhd-win-11-arctic-grey-1.html
,,,https://2b.com.eg/en/asus-vivobook-15-x1504za-nj005w-laptop-intelr-coretm-i5-1235u-8gb-512gb-ssd-intelr-uhd-graphics-15-6-fhd-win11-quiet-blue.html
,,,https://2b.com.eg/en/hp-15s-fq5042ne-laptop-intelr-coretm-i7-1255u-16gb-512gb-ssd-intelr-irisr-x-graphics-15-6-fhd-win11-natural-silver.html
